pg_transaction_id,pg_resp_code,pg_resp_message,invoice_id,booked_payment_id,fa_id,amount,updated_date
-1061109568,0,Succes Execute Data,MV0000000025008,BP0004240002187,684544222,83.25,45411.41
-1061109568,0,Succes Execute Data,MV0000000025008,BP0004240002187,684537892,254.611,45411.41
-1061109568,0,Succes Execute Data,MV0000000025008,BP0004240002187,684543595,262.27,45411.41
-1061109568,0,Succes Execute Data,MV0000000025008,BP0004240002187,684544236,138.75,45411.41
-1061109568,0,Succes Execute Data,MV0000000025008,BP0004240002187,684543435,83.25,45411.41
-1061109568,0,Succes Execute Data,MV0000000025008,BP0004240002187,684538801,873.452,45411.41
-1061109568,0,Succes Execute Data,MV0000000025008,BP0004240002187,684544326,83.25,45411.41
-1061109568,0,Succes Execute Data,MV0000000025008,BP0004240002187,684541373,83.25,45411.41
-1061109568,0,Succes Execute Data,MV0000000025008,BP0004240002187,684543480,249.75,45411.41
-1061109568,0,Succes Execute Data,MV0000000025008,BP0004240002187,684543596,138.75,45411.41
-1061109568,0,Succes Execute Data,MV0000000025008,BP0004240002187,684544221,138.75,45411.41
-1061109568,0,Succes Execute Data,MV0000000025008,BP0004240002187,684542555,138.75,45411.41
-1061109568,0,Succes Execute Data,MV0000000025008,BP0004240002187,684540032,83.25,45411.41
-1061109568,0,Succes Execute Data,MV0000000025008,BP0004240002187,684540873,83.25,45411.41
-1061109568,0,Succes Execute Data,MV0000000025008,BP0004240002187,684543997,83.25,45411.41
-1061109568,0,Succes Execute Data,MV0000000025008,BP0004240002187,684544237,83.25,45411.41
-1061109568,0,Succes Execute Data,MV0000000025008,BP0004240002187,684543858,83.25,45411.41
-1061109568,0,Succes Execute Data,MV0000000013751,BP0004240002187,684543858,83.25,45411.414
-1061109568,0,Succes Execute Data,MV0000000013751,BP0004240002187,684543480,249.75,45411.414
-1061109568,0,Succes Execute Data,MV0000000013751,BP0004240002187,684543595,293.35,45411.414
-1061109568,0,Succes Execute Data,MV0000000013751,BP0004240002187,684544237,83.25,45411.414
-1061109568,0,Succes Execute Data,MV0000000013751,BP0004240002187,684542555,138.75,45411.414
-1061109568,0,Succes Execute Data,MV0000000013751,BP0004240002187,684544221,138.75,45411.414
-1061109568,0,Succes Execute Data,MV0000000013751,BP0004240002187,684543435,83.25,45411.414
-1061109568,0,Succes Execute Data,MV0000000013751,BP0004240002187,684544236,138.75,45411.414
-1061109568,0,Succes Execute Data,MV0000000013751,BP0004240002187,684540873,83.25,45411.414
-1061109568,0,Succes Execute Data,MV0000000013751,BP0004240002187,684543596,138.75,45411.414
-1061109568,0,Succes Execute Data,MV0000000013751,BP0004240002187,684540032,83.25,45411.414
-1061109568,0,Succes Execute Data,MV0000000013751,BP0004240002187,684544326,83.25,45411.414
-1061109568,0,Succes Execute Data,MV0000000013751,BP0004240002187,684537892,251.836,45411.414
-1061109568,0,Succes Execute Data,MV0000000013751,BP0004240002187,684541373,83.25,45411.414
-1061109568,0,Succes Execute Data,MV0000000013751,BP0004240002187,684544222,83.25,45411.414
-1061109568,0,Succes Execute Data,MV0000000013751,BP0004240002187,684543997,83.25,45411.414
-1061109568,0,Succes Execute Data,MV0000000013751,BP0004240002187,684538801,887.882,45411.414
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,685005775,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682982870,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,683835757,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,684550570,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682983324,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,683662009,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682984268,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682984472,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,683444409,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,684551024,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,684129434,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682982083,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682982727,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,683442882,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682982726,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,684804241,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,683375044,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,685319260,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682983516,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682983913,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682981801,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,683444335,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,683373668,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,683662510,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682984343,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682984182,360.751,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682985578,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,684129067,666.0,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682984185,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,684547462,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,683375928,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,684708531,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,684802441,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682984275,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,685005716,666.0,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682983323,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682983327,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682983512,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,683371592,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,683435362,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,684708096,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,684707258,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,685147907,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,683377370,666.0,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,684226320,666.0,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682982872,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,685318486,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682982728,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,683377360,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,684797017,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,685007132,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,684971305,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682984431,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,685319023,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682982080,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,685151301,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,685151833,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682983396,666.0,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,683375553,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682982443,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682984345,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,683443809,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682984261,360.751,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682984280,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,682984267,360.751,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,684063883,360.75,45411.43
-1061109568,0,Succes Execute Data,MV0000000025111,BP0004240002183,683835519,360.75,45411.43
